,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
184,0,78.0,33.0,45.0,0.0,0.0,[[78.]],[[33.]],[[45.]],[[0.]],[[0.]],[[0.]],[[48.15260636]],[[26.2038568]],[[0.]],[[0.]]
185,0,77.0,33.0,44.0,0.0,0.0,[[77.]],[[33.]],[[44.]],[[0.]],[[0.]],[[0.]],[[48.27710291]],[[26.28012594]],[[0.]],[[0.]]
186,0,76.0,32.0,44.0,0.0,0.0,[[76.]],[[32.]],[[44.]],[[0.]],[[0.]],[[0.]],[[48.40127897]],[[26.35617406]],[[0.]],[[0.]]
187,0,75.0,32.0,43.0,0.0,0.0,[[75.]],[[32.]],[[43.]],[[0.]],[[0.]],[[0.]],[[48.52513698]],[[26.43200307]],[[0.]],[[0.]]
188,0,78.0,34.0,44.0,0.0,0.0,[[78.]],[[34.]],[[44.]],[[0.]],[[0.]],[[0.]],[[48.68979048]],[[26.46983599]],[[0.]],[[0.]]
189,0,79.0,37.0,42.0,0.0,0.0,[[79.]],[[37.]],[[42.]],[[0.]],[[0.]],[[0.]],[[48.89482698]],[[26.46983599]],[[0.]],[[0.]]
190,0,78.0,39.0,39.0,0.0,0.0,[[78.]],[[39.]],[[39.]],[[0.]],[[0.]],[[0.]],[[49.09900654]],[[26.46983599]],[[0.]],[[0.]]
191,0,78.0,39.0,39.0,0.0,0.0,[[78.]],[[39.]],[[39.]],[[0.]],[[0.]],[[0.]],[[49.18044081]],[[26.58301125]],[[0.]],[[0.]]
192,0,76.0,36.0,40.0,0.0,0.0,[[76.]],[[36.]],[[40.]],[[0.]],[[0.]],[[0.]],[[49.26174036]],[[26.69570603]],[[0.]],[[0.]]
193,0,76.0,37.0,39.0,0.0,0.0,[[76.]],[[37.]],[[39.]],[[0.]],[[0.]],[[0.]],[[49.42393793]],[[26.73316524]],[[0.]],[[0.]]
194,0,75.0,36.0,39.0,0.0,0.0,[[75.]],[[36.]],[[39.]],[[0.]],[[0.]],[[0.]],[[49.50483727]],[[26.84522881]],[[0.]],[[0.]]
195,0,75.0,38.0,37.0,0.0,0.0,[[75.]],[[38.]],[[37.]],[[0.]],[[0.]],[[0.]],[[49.7065091]],[[26.84522881]],[[0.]],[[0.]]
196,0,76.0,38.0,38.0,0.0,0.0,[[76.]],[[38.]],[[38.]],[[0.]],[[0.]],[[0.]],[[49.82712009]],[[26.91967833]],[[0.]],[[0.]]
197,0,76.0,38.0,38.0,0.0,0.0,[[76.]],[[38.]],[[38.]],[[0.]],[[0.]],[[0.]],[[49.94743959]],[[26.99392223]],[[0.]],[[0.]]
198,0,75.0,40.0,35.0,0.0,0.0,[[75.]],[[40.]],[[35.]],[[0.]],[[0.]],[[0.]],[[50.14733007]],[[26.99392223]],[[0.]],[[0.]]
199,0,73.0,38.0,35.0,0.0,0.0,[[73.]],[[38.]],[[35.]],[[0.]],[[0.]],[[0.]],[[50.22706334]],[[27.10490625]],[[0.]],[[0.]]
